Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Label
41,5,3.5,1.3,0.3,0
42,4.5,2.3,1.3,0.3,0
43,4.4,3.2,1.3,0.2,0
44,5,3.5,1.6,0.6,0
45,5.1,3.8,1.9,0.4,0
46,4.8,3,1.4,0.3,0
47,5.1,3.8,1.6,0.2,0
48,4.6,3.2,1.4,0.2,0
49,5.3,3.7,1.5,0.2,0
50,5,3.3,1.4,0.2,0
91,5.5,2.6,4.4,1.2,1
92,6.1,3,4.6,1.4,1
93,5.8,2.6,4,1.2,1
94,5,2.3,3.3,1,1
95,5.6,2.7,4.2,1.3,1
96,5.7,3,4.2,1.2,1
97,5.7,2.9,4.2,1.3,1
98,6.2,2.9,4.3,1.3,1
99,5.1,2.5,3,1.1,1
100,5.7,2.8,4.1,1.3,1
141,6.7,3.1,5.6,2.4,2
142,6.9,3.1,5.1,2.3,2
143,5.8,2.7,5.1,1.9,2
144,6.8,3.2,5.9,2.3,2
145,6.7,3.3,5.7,2.5,2
146,6.7,3,5.2,2.3,2
147,6.3,2.5,5,1.9,2
148,6.5,3,5.2,2,2
149,6.2,3.4,5.4,2.3,2
150,5.9,3,5.1,1.8,2
